,Rankings,College Name,Area Type,Region,Ownership,Student-to-Faculty Ratio,Enrolled Full Time Total,Average GPA,Average SATVR,Average SATMT
98,106.0,Spelman College,City: Large,Southeast,Private not-for-profit independent,11.0,571.0,3.6,595.0,555.0
99,109.0,Washington And Lee University,Town: Distant,Southeast,Private not-for-profit independent,8.0,474.0,4.0,700.0,719.0
100,110.0,Loyola Marymount University,City: Large,Far West,Private not-for-profit religious,10.0,1510.0,3.8,650.0,650.0
101,110.0,Rutgers University-New Brunswick,City: Small,Mid East,Public,16.0,7028.0,3.8,635.0,665.0
102,110.0,University Of Connecticut,Suburb: Large,New England,Public,16.0,3736.0,3.8,645.0,670.0
103,114.0,Pepperdine University,Suburb: Large,Far West,Private not-for-profit religious,14.0,800.0,3.7,650.0,670.0
104,114.0,Babson College,Suburb: Large,New England,Private not-for-profit independent,14.0,539.0,3.9,655.0,705.0
105,116.0,Saint Louis University,City: Large,Plains,Private not-for-profit religious,9.0,1511.0,3.9,635.0,640.0
106,117.0,University Of Illinois At Chicago,City: Large,Great Lakes,Public,18.0,4109.0,3.3,560.0,560.0
107,117.0,Villanova University,Suburb: Large,Mid East,Private not-for-profit religious,11.0,1685.0,3.9,675.0,710.0
108,117.0,The College Of Wooster,Town: Distant,Great Lakes,Private not-for-profit independent,11.0,569.0,3.7,625.0,625.0
109,117.0,Seattle University,City: Large,Far West,Private not-for-profit religious,11.0,1074.0,3.6,615.0,610.0
110,117.0,Mount Holyoke College,Suburb: Large,New England,Private not-for-profit independent,9.0,628.0,3.8,680.0,715.0
111,122.0,Illinois Institute Of Technology,City: Large,Great Lakes,Private not-for-profit independent,12.0,608.0,4.0,640.0,670.0
112,123.0,Dickinson College,City: Small,Mid East,Private not-for-profit independent,9.0,635.0,,,
113,124.0,University Of The Pacific,City: Large,Far West,Private not-for-profit independent,13.0,953.0,3.5,610.0,625.0
114,125.0,Gettysburg College,City: Small,Mid East,Private not-for-profit independent,9.0,748.0,3.8,,
115,126.0,Colorado College,City: Large,Rocky Mountains,Private not-for-profit independent,10.0,544.0,3.5,,
116,127.0,Pitzer College,Suburb: Large,Far West,Private not-for-profit independent,10.0,273.0,3.9,,
117,128.0,Rochester Institute Of Technology,Suburb: Large,Mid East,Private not-for-profit independent,13.0,2845.0,3.7,635.0,665.0
118,130.0,University At Buffalo,Suburb: Large,Mid East,Public,13.0,4252.0,3.6,610.0,635.0
119,131.0,Santa Clara University,City: Midsize,Far West,Private not-for-profit religious,10.0,1390.0,3.7,665.0,690.0
120,131.0,Furman University,Suburb: Large,Southeast,Private not-for-profit independent,10.0,711.0,,670.0,650.0
121,134.0,Creighton University,City: Large,Plains,Private not-for-profit religious,11.0,1155.0,3.7,625.0,625.0
122,134.0,Stony Brook University,Suburb: Large,Mid East,Public,18.0,3375.0,3.8,640.0,685.0
123,136.0,Clarkson University,Town: Remote,Mid East,Private not-for-profit independent,14.0,797.0,3.7,615.0,640.0
124,137.0,University Of Delaware,Suburb: Large,Mid East,Public,15.0,4694.0,3.7,630.0,625.0
125,137.0,Reed College,City: Large,Far West,Private not-for-profit independent,9.0,363.0,3.9,710.0,705.0
126,139.0,Skidmore College,Suburb: Small,Mid East,Private not-for-profit independent,8.0,678.0,3.8,656.5,655.0
127,141.0,Rutgers University-Newark,City: Large,Mid East,Public,16.0,1318.0,,550.0,555.0
128,141.0,Yeshiva University,City: Large,Mid East,Private not-for-profit independent,7.0,531.0,3.5,640.0,630.0
129,143.0,North Carolina State University At Raleigh,City: Large,Southeast,Public,14.0,4939.0,3.8,650.0,670.0
130,144.0,Gustavus Adolphus College,Town: Fringe,Plains,Private not-for-profit religious,11.0,651.0,3.6,,
131,144.0,Allegheny College,Town: Distant,Mid East,Private not-for-profit religious,10.0,470.0,3.5,620.0,610.0
132,144.0,Colorado School Of Mines,Suburb: Large,Rocky Mountains,Public,15.0,1196.0,3.8,670.0,700.0
133,147.0,Ohio Northern University,Town: Fringe,Great Lakes,Private not-for-profit religious,11.0,681.0,3.6,590.0,600.0
134,147.0,Centre College,Town: Distant,Southeast,Private not-for-profit religious,11.0,358.0,3.6,647.5,657.5
135,149.0,Virginia Polytechnic Institute And State University,City: Small,Southeast,Public,14.0,6254.0,,635.0,650.0
